run_no,best_fitness,genotype_hash,genotype,timestamp
1,3143.829,6e4b59b0da8e61070dda0cb09554bf1cff27239241ad5027ad79265c40708da4,"[-90.002365   78.61744     7.7544136 -91.63109    93.737114   19.820747
  82.42098    93.6742     87.81529    93.618935   54.171757  -98.709465
  71.00586   -62.80044    -7.7519712   2.2373445  84.98738   -71.38402
 -23.520523  -17.762484 ]",0
1,3049.462,6aea8071b3eb12a733c4539dbc64e69eceb8a8573ed6b8a70cf772b5a16a6f0c,"[-89.30453    88.70686     4.941722  -92.21723    93.737114   19.820747
  83.43695    96.93281    87.81529    91.47371    54.171757  -94.59113
  71.00586   -62.80044    -7.7519712   2.2373445  84.96088   -71.38402
  21.420538  -17.762484 ]",5
1,3028.3032,d56c367f12dce696b8a460fa2d06410736a07274a9a756ec0ded3d9dbb3ddcd4,"[-90.002365   88.70686     4.941722  -92.21723    93.737114   19.820747
  83.43695    94.29448    87.81529    92.146996   54.171757  -94.59113
  71.00586   -72.84299    -7.7519712   2.2373445  84.96088   -71.38402
  21.420538  -17.762484 ]",10
1,3016.3464,c9e71e935aff895a811592d2cda349e824122ef825ae3262885fa852bf7b862d,"[-90.002365   87.82729     4.941722  -92.21723    93.737114   33.788116
  83.43695    94.29448    87.81529    92.146996   54.18767   -94.59113
  71.00586   -72.84299    -7.7519712   2.2373445  84.96088   -71.38402
  21.420538  -17.762484 ]",15
1,3002.7021,141eb421fdbe52317b44c9b42c39fc87e4d08bcb770600f02bc8e8c2361f5021,"[-90.002365   87.82729     4.941722  -92.21723    93.737114   33.788116
  83.43695    92.10301    88.24938    92.146996   54.171757  -94.22314
  71.00586   -72.84299    -9.30846     2.2373445  84.96088   -71.38402
  21.420538  -17.762484 ]",20
1,2993.2598,0c10ddf9d91c36b658964666f2818273e1a2d7463b0c960d9f07decdfc482448,"[-90.002365   87.82729     3.810919  -92.21723    93.737114   27.428337
  83.43695    93.6742     87.81529    92.146996   54.18767   -94.59113
  71.17624   -72.84299    -9.30846     1.1670052  84.96088   -70.9871
  21.48633   -17.762484 ]",25
1,2989.5178,8a173302fae630ea4afcc816af05025beb28fa4dddfbf48919e6214b64749566,"[-90.002365   86.70986     3.810919  -92.21723    93.737114   27.428337
  81.58508    93.6742     87.81529    92.146996   54.18767   -94.22314
  71.36022   -72.84299    -8.874514    1.1670052  84.96088   -70.9871
  21.48633   -17.762484 ]",30
1,2988.3623,6d86979e07699ad39b585825c5d3ea1754ee90254928820ca6ebbe522ab7a953,"[-90.002365   86.66133     3.8222358 -92.21723    93.737114   27.428337
  81.58508    93.6742     87.81529    92.146996   54.18767   -94.22314
  71.36022   -72.84299    -9.41915     1.1670052  84.96088   -70.9871
  21.48633   -17.762484 ]",35
1,2986.7812,56712c32721c509669e65c3d00cc34747151583d163454439bebc4c19fb6c776,"[-90.002365   86.70986     3.810919  -92.21723    93.737114   27.428337
  81.58508    93.6742     88.51324    92.033424   54.18767   -94.22314
  71.36022   -72.84299    -9.41915     1.1670052  84.96088   -70.9871
  21.39662   -17.762484 ]",40
1,2985.3157,c2a57f4773f9c3b638b9a6ffd5edf678a6a5d171ce9fcdea9a65e0363c79c3ee,"[-89.6027     86.70986     3.8222358 -92.21723    93.737114   27.428337
  81.58508    93.6742     88.51324    92.033424   54.18767   -94.22314
  71.36022   -72.84299    -9.41915     1.1670052  84.96088   -70.9871
  21.39662   -17.762484 ]",45
1,2984.0217,256af0f528c41d8d8b26d325ca0a09313f0b08454904d73162ffd446624d4cc9,"[-89.6027     86.70986     3.810919  -92.21723    93.737114   27.428337
  81.58508    93.6742     88.51324    92.033424   54.18767   -94.22314
  71.36022   -73.99045    -9.41915     1.1670052  84.96088   -70.9871
  21.39662   -17.861898 ]",50
1,2983.6108,5e5d176151ea9fba2fbdbfbee96e0e2ad29d9f5fa2d6b9cfc446f27fcc35b7de,"[-90.002365   86.70986     3.8222358 -92.21723    93.737114   27.428337
  80.756195   93.6742     88.51324    92.033424   54.18767   -94.22314
  71.36022   -73.99045    -9.41915     1.1670052  84.96088   -70.9871
  21.39662   -17.861898 ]",55
1,2981.3162,480d3efeb4185b3f5371216a79fb3a4df65908d5422fce4c4b02ff2a622f6e90,"[-89.6027     86.70986     3.948781  -92.21723    93.737114   27.428337
  80.756195   93.6742     88.51324    92.033424   54.292046  -94.22314
  71.81524   -73.822525   -9.41915     1.1670052  84.96088   -70.275795
  21.39662   -17.861898 ]",60
1,2981.1016,9fb156b5620ec411fe39ea17d9ceb5d42569ba188d9c882ab153b8bfb7b4cbd1,"[-89.6027     86.70986     3.948781  -92.21723    93.737114   27.428337
  80.756195   93.6742     88.51324    92.033424   54.292046  -94.22314
  71.81524   -73.822525   -9.41915     0.8153453  84.96088   -70.275795
  21.39662   -17.861898 ]",65
1,2979.7195,d90f51889e8edf159bb961882fea3c072528a4f5e351796855d72948e32506ab,"[-89.6027     86.70986     3.8222358 -92.21723    93.737114   27.428337
  80.01658    93.6742     88.51324    92.033424   54.18767   -94.22314
  71.81524   -73.822525   -9.41915     1.1670052  84.96088   -70.275795
  20.879723  -17.762484 ]",70
1,2979.2175,57159a671b5e1079549dac3c6f6367ade945fb141cd555385dbcd1a9839b2fe5,"[-89.6027     86.70986     3.948781  -92.21723    93.737114   27.428337
  80.01658    93.6742     88.51324    92.033424   54.311996  -94.22314
  71.81524   -73.822525   -9.41915     0.8153453  84.96088   -69.8067
  20.879723  -17.861898 ]",75
1,2979.09,c2a4797e5267e5671034041717a125b3259e5d9b8f11e858dde38d9897fbcf6f,"[-89.6027     86.56402     3.8222358 -92.21723    93.737114   27.428337
  80.01658    93.6742     88.51324    92.033424   54.18767   -94.22314
  71.81524   -73.822525   -9.41915     0.8153453  84.96088   -70.275795
  20.879723  -18.262579 ]",80
1,2978.404,7e0bdc1284037a3f501607e17265d6aaba2f242ef01aec6fff521daf898c405e,"[-89.6027     86.70986     3.948781  -92.21723    93.737114   27.428337
  80.01658    93.6742     88.51324    91.74494    54.311996  -94.22314
  71.81524   -73.822525   -9.41915     0.8153453  84.96088   -69.8067
  20.879723  -17.861898 ]",85
1,2978.093,d362375300e27daa2f687892b56c842852013f6955dbbd3fa0c08aa4f6cf9751,"[-89.6027     86.56402     3.948781  -92.21723    93.737114   27.428337
  80.01658    93.6742     88.51324    91.74494    54.311996  -94.22314
  71.81524   -73.822525   -9.41915     0.8153453  84.96088   -69.8067
  20.879723  -18.262579 ]",90
1,2977.8438,79a21e088dc9c7b3696d23bf39e2ce22bf378ea7378bf1cc90e380e2b317d024,"[-89.6027    86.56402    3.948781 -92.21723   93.737114  27.428337
  80.01658   93.6742    88.51324   91.57061   54.311996 -94.22314
  71.81524  -73.822525  -9.41915    0.725871  84.96088  -69.8067
  20.879723 -18.262579]",95
1,2977.403,ea39359527eed7cc11fb331877a98ab6dbfd67d33f7fc5cfbc3b280c18ee41db,"[-89.6027    86.56402    3.948781 -92.21723   93.616425  27.428337
  80.01658   93.6742    88.51324   91.57061   54.311996 -94.22314
  71.81524  -73.822525  -9.94363    0.725871  84.96088  -69.8067
  20.879723 -18.262579]",100
1,2976.9978,ba9f6cf4342a0afdb461821f24b33c850f1c5d1bcd277281231b72012d3bfb5e,"[-89.6027    86.41714    3.948781 -92.21723   93.616425  27.428337
  80.01658   93.6742    88.51324   91.57061   54.311996 -94.22314
  71.81524  -73.822525  -9.94363    0.725871  84.96088  -69.501366
  20.879723 -18.262579]",105
1,2976.987,e9b43c2157bb169efc865ccc4abc4cef16187300e8f95d2fce4db55273b338b7,"[-89.6027    86.394714   3.948781 -92.21723   93.616425  27.428337
  80.01658   93.6742    88.51324   91.57061   54.311996 -94.22314
  71.81524  -73.822525  -9.94363    0.725871  84.96088  -69.501366
  20.879723 -18.262579]",110
1,2976.9329,10b174d5cff1601dc85eceec0d420926795d732cd8b2366b5c075ef7c56d61e0,"[-89.6027    86.394714   3.948781 -92.21723   93.616425  27.428337
  80.01658   93.6742    88.51324   91.57061   54.311996 -94.22314
  72.05962  -73.822525  -9.94363    0.725871  84.96088  -69.501366
  20.879723 -18.262579]",115
1,2976.8936,e2e5dd41da52d0117e8f44e20690da7dfb8f38d6b40aa9268d1a4cb689ff9fcc,"[-89.6027    86.394714   3.948781 -92.08275   93.616425  27.428337
  80.01658   93.6742    88.51324   91.57061   54.311996 -94.22314
  72.05962  -73.822525  -9.94363    0.725871  84.96088  -69.501366
  20.879723 -18.262579]",120
1,2976.7627,885499a450f94a88d1bc2ba15b77c90a6ddbdeaf2ac658618493dd94f39caa70,"[-89.6027    86.394714   3.948781 -92.08275   93.616425  27.428337
  80.01658   93.6742    88.51324   91.57061   54.499542 -94.22314
  72.05962  -73.822525  -9.94363    0.725871  84.83763  -69.501366
  20.879723 -18.262579]",125
1,2976.7542,b9ad62752a987d923a8a656cdd4bc0bc19fec95463898c60c07139d64cbad315,"[-89.6027    86.394714   3.980619 -92.08275   93.616425  27.428337
  80.01658   93.6742    88.51324   91.57061   54.499542 -94.22314
  72.05962  -73.822525  -9.94363    0.725871  84.83763  -69.501366
  20.879723 -18.262579]",130
1,2976.7217,a7a1aab9bc8c869a4ea22134961bfb401a468a0167dc87fe9618e14ff6c9c4a1,"[-89.6027     86.394714    3.980619  -92.08275    93.616425   27.428337
  80.01658    93.6742     88.51324    91.57061    54.499542  -94.22314
  72.05962   -73.822525   -9.898426    0.2184055  84.83763   -69.501366
  20.879723  -18.262579 ]",135
1,2976.5366,c5e45f5d7e69bde6ba4c3e40e27eceef9f51751a3e1d954661bd946427268195,"[-89.6027     86.394714    3.980619  -92.08275    93.616425   27.428337
  80.01658    93.6742     88.51324    91.57061    54.499542  -94.22314
  72.05962   -73.822525  -10.060514    0.2184055  84.83763   -69.501366
  20.879723  -18.262579 ]",145
1,2976.3474,79685600bbb20180e163deefba7aa6aad792c20ea1d5d2ca3884b5a7ac259998,"[-89.6027     86.394714    4.0443645 -92.05582    93.616425   27.428337
  80.01658    93.6742     88.51324    91.47945    54.499542  -94.22314
  72.05962   -73.822525  -10.060514    0.2184055  84.83763   -69.501366
  20.879723  -18.262579 ]",150
1,2976.052,3f74820ce351c433060ca4ea394769f1e5161a337ac03aec3668a92f7c64ae75,"[-89.6027     86.394714    4.0443645 -92.05582    93.616425   27.428337
  80.01658    93.6742     88.51324    91.47945    54.499542  -94.22314
  72.05962   -73.822525  -10.060514    0.2184055  84.83763   -69.15371
  20.879723  -18.262579 ]",155
1,2975.9844,13e6a514f83582e605bb4ca021d214e2f9bb661447a3be28e5e54aebdab7f989,"[-89.6027     86.394714    4.0443645 -92.05582    93.616425   27.428337
  80.01658    93.6742     88.51324    91.47945    54.499542  -94.06504
  72.05962   -73.822525  -10.060514    0.2184055  84.83763   -69.15371
  20.879723  -18.262579 ]",160
1,2975.9739,a82368535447176ab98fbe99ae7958e620ad198b3ff78131e355f06bbce364d7,"[-89.6027     86.349594    4.0443645 -92.05582    93.616425   27.428337
  80.01658    93.6742     88.51324    91.47945    54.499542  -94.06504
  72.05962   -73.822525  -10.060514    0.2184055  84.83763   -69.15371
  20.879723  -18.262579 ]",165
1,2975.6873,a29f1acc8369f89e9b3f78e24c7bca4eeb29fab86c781faad8e6156038e23b10,"[-89.6027     86.394714    4.0443645 -92.05582    93.616425   27.428337
  80.01658    93.6742     88.51324    91.25487    54.499542  -94.06504
  72.05962   -73.822525  -10.060514    0.2184055  84.83763   -69.15371
  20.879723  -18.262579 ]",170
1,2975.6738,bedd2aae54fbb00ff69274d9b722303fee8d5f7ac111538c80a6c34e9d39be89,"[-89.6027      86.349594     4.0443645  -92.05582     93.616425
  27.428337    80.01658     93.6742      88.51324     91.25487
  54.499542   -94.06504     72.05962    -73.822525   -10.060514
   0.33928993  84.83763    -69.15371     20.879723   -18.262579  ]",175
1,2975.5974,4e596a6f484c5e0bdc9a25a7825b719930ad9bd96577c33d8570732485a62a13,"[-89.6027     86.349594    4.0443645 -92.05582    93.616425   27.428337
  80.00271    93.6742     88.51324    91.25487    54.499542  -94.06504
  72.05962   -73.822525  -10.060514    0.2184055  84.82463   -68.981964
  20.879723  -18.262579 ]",180
1,2975.5583,ffbc256fd07bcbb120aa08d8b7e374f7e3dd6a3c7354dc13afa2d7db7aa0e72d,"[-89.6027     86.349594    4.0443645 -92.05582    93.616425   27.428337
  80.00271    93.6742     88.51324    91.25487    54.499542  -94.06504
  72.05962   -73.822525  -10.102581    0.2184055  84.82463   -68.981964
  20.879723  -18.262579 ]",185
